id;english;japanese
0;I am a vegetarian;私は菜食主義者です
1;Do you understand?;わかりますか 
2;I understood;わかりました
3;I don't speak Japanese;日本語を話せません
4;Does anyone speak English?;英語の話せる人はいませんか ;誰か、英語が話せますか
5;Sorry, I didn't understand that;すみません。分かりませんでした
6;What did you say?;なんて言いましたか
7;Can you translate it for me?;訳してください
8;What does this mean?;これはどういう意味ですか
9;How do you pronounce that?;これはどんな風に発音しますか
10;There's a problem in the room;その部屋の中に問題があります
11;There's no hot water;お湯がありません
12;The tap/faucet is leaking;蛇口が漏れています
13;The drain is blocked;排水溝が詰まっています
14;The air conditioner is too noisy;エアコンがうるさすぎます
15;Can I have another room?;他の部屋へ移れますか
16;When should I vacate the room?;いつ、部屋を出なくてはなりませんか
17;I'd like to check out;チェックアウトしたいのですが
18;I'd check out on this date;この日にチェックアウトしたいのですが
19;Could you call a taxi please?;タクシーを呼んで下さい
20;May I see the bill please?;請求書を見せて頂けますか
21;How much is the total bill?;請求書の合計額は、いくらですか
22;Can I have an itemised bill?;明細書を見せて頂けますか
23;I think there's a mistake on this bill;この請求書に間違いがあるように思うのですが
24;Is there a restaurant near here?;近くにレストランはありますか
25;I'd like to reserve a table;テーブルの予約を取りたいのですが
26;We have a reservation;既に予約をとっています
27;Do you have an English menu?;英語のメ二ューはありますか
28;Can I see the wine list?;ワインのリストを見せて頂けませんか
