id;target;src
0;Claro que sí;Of course
1;Claro que no;Of course not
2;No hay de que;Don't mention it
3;Con permiso;With your permission
4;Tengo hambre;I'm hungry
5;Tengo sed;I'm thirsty
6;Que bien;How nice
7;A mi también;Me too
8;A mi tampoco;Me neither
9;Estoy de acuerdo;I agree
10;No cabe duda;No doubt about it
11;No tengo idea;I have no idea
12;Puede ser;It could be
13;Por otro lado;On the other hand
14;Espero que no;I hope not
15;Tengo prisa;I'm in a hurry
16;No se;I don't know
17;No entiendo;I don't understand
18;Ya entiendo;I understand
19;Estoy bromeando;I'm just kidding
20;No se preocupe;Don't worry
21;Te amo;I love you
22;Me olvidé;I forgot
23;Está bien;It's okay
24;No importa;It's not important
25;Tengo sueño;I'm tired
26;Estoy cansado;I'm exhausted
27;Estoy aburrido;I'm bored
28;Con gusto;With pleasure
29;Que tenga un buen día;Have a nice day
30;Quiero más;I want more
31;No lo quiero;I don't want it
32;Vámonos;Let's go
33;Escucha me;Listen to me
34;No hay problema;It's not a problem
35;Un momento, por favor;One moment, please
36;Solo un poquito;Just a little
37;¿Puedes ayudarme?;Can you help me?
38;¿Puedes repetírmelo?;Can you repeat that?
39;¿Puedes hablar más despacio?;Can you speak more slowly?
40;¿Qué hora es?;What time is it?
41;¿Qué tiempo hace?;How's the weather?
42;¿Qué es esto?;What's this?
43;¿Cómo se dice esto?;How do you say this?
44;¿De donde eres?;Where are you from?
45;¿Dónde vives?;Where do you live?
46;¿Listo?;Are you ready?
47;¿Verdad?;Really?
48;¿Cuál es tu número de teléfono?;What is your phone number?
